# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = parameter_estimation_model_model
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = parameter_estimation_model_4.data.R
# init = 2 (Default)
# random
#   seed = 3242791311
# output
#   file = parameter_estimation_model_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma1.1,sigma1.2,theta1,theta2,theta3,theta4,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.284569
# Diagonal elements of inverse mass matrix:
# 0.0837408, 0.079592, 0.000118441, 0.000437167, 0.000158476, 0.000119823
39.6328,0.900052,0.284569,3,15,0,-38.0149,0.0436587,0.0819793,1.49717,1.0047,3.0077,1.00387,1.49717,1.0047,3.0077,1.00387
36.4802,0.292851,0.284569,4,15,0,-33.5058,0.180124,0.0630965,1.50047,1.00026,2.98736,0.996319,1.50047,1.00026,2.98736,0.996319
38.9528,0.904984,0.284569,4,15,0,-34.0103,0.062058,0.100422,1.50382,1.00998,2.99469,1.00126,1.50382,1.00998,2.99469,1.00126
38.3214,0.829435,0.284569,4,15,0,-35.4286,0.109719,0.0652022,1.49589,0.995494,2.99683,0.999589,1.49589,0.995494,2.99683,0.999589
39.0821,0.951136,0.284569,4,15,0,-35.0884,0.0982707,0.0797361,1.49099,0.995033,3.01004,1.01186,1.49099,0.995033,3.01004,1.01186
37.85,0.942095,0.284569,4,15,0,-34.7513,0.0984386,0.0650245,1.49529,1.01346,3.01086,1.00994,1.49529,1.01346,3.01086,1.00994
39.2688,1,0.284569,4,15,0,-35.9614,0.0753484,0.0920502,1.50143,0.983816,2.99634,0.999307,1.50143,0.983816,2.99634,0.999307
37.9078,0.899366,0.284569,4,15,0,-32.2741,0.12358,0.0805865,1.49976,1.01095,3.01511,0.995065,1.49976,1.01095,3.01511,0.995065
39.3371,0.981794,0.284569,3,15,0,-36.046,0.0758018,0.0545282,1.50369,0.998306,2.98628,1.00107,1.50369,0.998306,2.98628,1.00107
40.5556,0.827402,0.284569,3,15,0,-34.2372,0.0598926,0.0586185,1.50136,1.00677,3.00419,1.00102,1.50136,1.00677,3.00419,1.00102
41.0188,0.86065,0.284569,4,15,0,-37.5067,0.0778299,0.0514703,1.49999,1.00521,3.00718,1.00018,1.49999,1.00521,3.00718,1.00018
40.258,0.85361,0.284569,3,7,0,-38.7368,0.0789749,0.0522632,1.49966,1.00841,3.00382,1.00386,1.49966,1.00841,3.00382,1.00386
38.7332,0.982627,0.284569,4,15,0,-37.754,0.0852015,0.114101,1.50443,0.99348,2.99929,0.991173,1.50443,0.99348,2.99929,0.991173
39.1412,0.992,0.284569,4,15,0,-36.0879,0.0730786,0.149103,1.50403,1.00279,2.99285,0.995578,1.50403,1.00279,2.99285,0.995578
40.4246,0.999053,0.284569,4,15,0,-38.3035,0.0614125,0.113863,1.50389,0.997894,2.99258,0.995591,1.50389,0.997894,2.99258,0.995591
41.3404,0.859585,0.284569,4,15,0,-36.3775,0.0613259,0.0789718,1.50256,0.997545,3.00012,0.998438,1.50256,0.997545,3.00012,0.998438
41.152,1,0.284569,3,15,0,-39.9317,0.0868355,0.0954562,1.50162,1.01097,2.99977,0.999266,1.50162,1.01097,2.99977,0.999266
41.0072,0.924813,0.284569,4,15,0,-39.0837,0.0619796,0.0562102,1.50026,0.994263,2.99983,0.99922,1.50026,0.994263,2.99983,0.99922
41.4331,0.911434,0.284569,2,7,0,-37.9866,0.0652132,0.0902125,1.50054,1.00435,2.99457,1.00271,1.50054,1.00435,2.99457,1.00271
39.8771,0.846514,0.284569,4,15,0,-37.9726,0.0734051,0.0508692,1.50278,1.00231,2.99811,0.99285,1.50278,1.00231,2.99811,0.99285
42.0879,0.972888,0.284569,3,7,0,-36.0611,0.0754382,0.0787944,1.50284,1.00002,2.9925,0.996673,1.50284,1.00002,2.9925,0.996673
40.8288,0.990569,0.284569,3,15,0,-39.8711,0.0799948,0.0862924,1.49599,1.00774,3.01268,1.00411,1.49599,1.00774,3.01268,1.00411
38.7928,0.857315,0.284569,4,15,0,-37.4256,0.0839461,0.0740135,1.49632,0.990962,3.0089,1.01044,1.49632,0.990962,3.0089,1.01044
38.1925,0.992031,0.284569,3,7,0,-35.7347,0.0959656,0.0492139,1.49178,0.999831,3.01192,1.01258,1.49178,0.999831,3.01192,1.01258
36.9211,0.720418,0.284569,3,7,0,-34.1894,0.114311,0.0613341,1.49523,0.999955,3.01703,1.01236,1.49523,0.999955,3.01703,1.01236
36.457,0.870082,0.284569,4,15,0,-31.7314,0.0898139,0.132028,1.50169,0.997325,3.00742,1.00545,1.50169,0.997325,3.00742,1.00545
36.1556,0.995284,0.284569,3,7,0,-32.8062,0.107112,0.159155,1.49538,1.00934,3.00113,1.00292,1.49538,1.00934,3.00113,1.00292
38.3854,0.98441,0.284569,4,15,0,-34.8196,0.0703491,0.0442794,1.50595,0.999428,2.98732,0.994693,1.50595,0.999428,2.98732,0.994693
40.134,0.981309,0.284569,4,15,0,-36.3683,0.0644518,0.0758235,1.50564,1.00838,2.99288,0.990838,1.50564,1.00838,2.99288,0.990838
40.1833,0.979377,0.284569,2,7,0,-35.6947,0.0565668,0.0735741,1.5062,1.01073,2.98804,0.993112,1.5062,1.01073,2.98804,0.993112
40.409,0.861814,0.284569,4,15,0,-36.779,0.100938,0.0891511,1.49581,0.99359,2.99907,1.00513,1.49581,0.99359,2.99907,1.00513
40.1278,0.984178,0.284569,3,15,0,-39.2068,0.0958031,0.0928818,1.49805,0.989463,3.0078,1.00344,1.49805,0.989463,3.0078,1.00344
41.0694,0.997577,0.284569,4,15,0,-38.8779,0.0612923,0.0562392,1.50077,1.0073,2.99684,0.998114,1.50077,1.0073,2.99684,0.998114
40.8587,0.27541,0.284569,3,15,0,-35.1358,0.0521433,0.0552101,1.50283,1.00325,2.99702,0.997065,1.50283,1.00325,2.99702,0.997065
41.654,0.761897,0.284569,3,15,0,-39.1356,0.082543,0.0867086,1.50259,1.00071,2.99665,1.00037,1.50259,1.00071,2.99665,1.00037
41.9897,0.870391,0.284569,2,7,0,-39.0432,0.0842782,0.0900519,1.50056,1.00188,2.99937,0.998097,1.50056,1.00188,2.99937,0.998097
39.752,0.924545,0.284569,4,31,0,-38.7312,0.0891021,0.0893374,1.49734,1.00232,3.01673,1.00536,1.49734,1.00232,3.01673,1.00536
39.2988,0.890248,0.284569,3,15,0,-35.5276,0.100298,0.0658487,1.49832,0.99961,3.01816,1.00029,1.49832,0.99961,3.01816,1.00029
40.2597,0.955792,0.284569,4,15,0,-36.6714,0.0703636,0.0829759,1.50461,1.00327,2.98359,0.999337,1.50461,1.00327,2.98359,0.999337
40.607,0.988613,0.284569,4,15,0,-38.8888,0.0572502,0.0978325,1.50311,0.999071,2.9887,0.996647,1.50311,0.999071,2.9887,0.996647
41.6207,0.960551,0.284569,3,15,0,-38.2905,0.0563055,0.0742156,1.49892,0.997941,3.00495,0.999817,1.49892,0.997941,3.00495,0.999817
41.9531,0.82556,0.284569,2,7,0,-40.398,0.0688338,0.0714168,1.49939,1.00115,3.00311,1.0039,1.49939,1.00115,3.00311,1.0039
39.716,0.939776,0.284569,4,15,0,-38.6932,0.0880262,0.0868032,1.50396,1.00678,2.98313,0.994753,1.50396,1.00678,2.98313,0.994753
41.9479,0.973047,0.284569,4,15,0,-37.9009,0.0751744,0.068779,1.49765,1.00317,3.00995,1.00177,1.49765,1.00317,3.00995,1.00177
39.6822,0.923446,0.284569,3,7,0,-38.6407,0.077081,0.0515059,1.49679,0.991191,3.00458,1.00228,1.49679,0.991191,3.00458,1.00228
40.8887,0.794422,0.284569,4,15,0,-35.9519,0.097548,0.0820138,1.50233,1.01105,2.99939,0.995588,1.50233,1.01105,2.99939,0.995588
39.3993,0.971909,0.284569,3,15,0,-33.1875,0.081898,0.103955,1.49338,0.997384,3.01672,1.00931,1.49338,0.997384,3.01672,1.00931
35.7147,0.818624,0.284569,4,15,0,-33.4518,0.0575021,0.0657502,1.49574,0.983366,3.0156,1.00731,1.49574,0.983366,3.0156,1.00731
# 
#  Elapsed Time: 12.1125 seconds (Warm-up)
#                0.831138 seconds (Sampling)
#                12.9436 seconds (Total)
# 
